conv_id,emotion,situation,utterance
hit:5341_conv:10682,lonely,I was supposed to go out with a bunch of people over the weekend but htey cancelled so i was stuck home alone,I wish that when people made plans_comma_ they would stick to them.
hit:5341_conv:10682,lonely,I was supposed to go out with a bunch of people over the weekend but htey cancelled so i was stuck home alone,Oh I hate people like that.    People that flake out like that just have no respect for anyone elses' time.
hit:8891_conv:17783,disgusted,I stepped out of my door this morning and right into an unpleasant surprise that my neighbor's dog left. It was so gross.,I stepped out of my front door this morning... and right into an unpleasant surprise that my neighbor's dog left for me.
hit:8891_conv:17783,disgusted,I stepped out of my door this morning and right into an unpleasant surprise that my neighbor's dog left. It was so gross.,Ugh! I use to have the same problem with my neighbors dog who would poop in my driveway! At least it was my tires and not my feet that got the unpleasant surprise.
hit:3539_conv:7079,faithful,trust your friends,good friends always helps you in every up and down situation without any expectation 
hit:3539_conv:7079,faithful,trust your friends,You have to have a good friend though for any help. Without a friend there is not help.
hit:3846_conv:7693,sad,My long term boyfriend and I broke up recently. I'm so lost right now.,My long term boyfriend and I broke up recently. I'm so lost right now.
hit:3846_conv:7693,sad,My long term boyfriend and I broke up recently. I'm so lost right now.,when that happened to me i watched a lot of movies _comma_ for some reason the sad movies made me cry_comma_ but just be strong and patient one day you realize you can do better or find someone new
hit:10769_conv:21538,faithful,I am very faithful to my employer.,My employer provides me with lots of training and support so I have become very faithful to them.
hit:10769_conv:21538,faithful,I am very faithful to my employer.,It's always good to have a boss you can get along with.  It makes work a lot less stressful.
hit:912_conv:1825,disappointed,I was planning to go biking this weekend but it rained all day.....,I hate when I make plans and the rain cancels them....
hit:912_conv:1825,disappointed,I was planning to go biking this weekend but it rained all day.....,I agree with that! I just had the rain cancel my trip to the beach yesterday! Makes me so mad...
hit:10123_conv:20247,faithful,I'm hoping I can reach diamond next season in overwatch. I've been practicing a ridiculous amount,I've spent at least an hour a day on overwatch for the past 3 months. Altogether I have roughly 90 hours this season
hit:10123_conv:20247,faithful,I'm hoping I can reach diamond next season in overwatch. I've been practicing a ridiculous amount,Wow! I enjoy watching Overwatch on Twitch occasionally. Would you say that's your favorite game?
hit:6739_conv:13479,terrified,So... Last night I saw a huge black spider in my room. Took me like 20 minutes to muster up the courage to attack it. Well... I tried attacking it_comma_ and missed_comma_ and it went behind a piece of furniture and I couldn't find it again. I slept in another room.. ,So... Last night I saw a huge black spider in my room. Took me like 20 minutes to muster up the courage to attack it. Well... I tried attacking it_comma_ and missed_comma_ and it went behind a piece of furniture and I couldn't find it again. I slept in another room..
hit:6739_conv:13479,terrified,So... Last night I saw a huge black spider in my room. Took me like 20 minutes to muster up the courage to attack it. Well... I tried attacking it_comma_ and missed_comma_ and it went behind a piece of furniture and I couldn't find it again. I slept in another room.. ,I hate that!  Knowing a spider or any sort of bug is in your room and then knowing you have to go to sleep.  I would have done the same thing.
hit:451_conv:903,faithful,I don't understand couples that cheat on each other. I literally have no desire to cheat.,It is so crazy to me. My best friend and her husband have an open marriage and I just cannot fathom having another partner other than my husband.
hit:451_conv:903,faithful,I don't understand couples that cheat on each other. I literally have no desire to cheat.,I always wondered how you start something like that up with your partner without hurting their feelings.
hit:10192_conv:20385,ashamed,Living out of a car,I used to live out of my car and it made me feel pretty down on myself back then
hit:10192_conv:20385,ashamed,Living out of a car,I no how you feeI I have had to live in worse places than that _comma_ but it looks like you found a way out of that situation.
